gene_symbol,disease_group,stratum,MCI,Adj_MCI,MCI_tier,bootstrap_majority_tier,MCI_CI95_lower,MCI_CI95_upper,sigma_disease_to_GTEx_ratio,GTEx_low_confidence_flag,has_DCM_generalization_entry,DCM_MCI_if_available,DCM_tier_if_available,resource_interpretation
MYH6,HCM,,0.9681,1.1844,HIGH,HIGH,0.9618,1.0,0.1675,True,False,,,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
TNNI3,HCM,HCM_sarcomeric,0.9617,1.0505,HIGH,HIGH,0.9537,1.0,0.0661,True,True,0.8461,HIGH,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
GLA,HCM,,0.96,1.1852,HIGH,HIGH,0.9509,1.0,0.1765,True,False,,,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
ACTN2,HCM,,0.9348,1.0002,HIGH,HIGH,0.9177,1.0,0.0497,True,True,0.7281,HIGH,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
TMEM43,HCM,,0.9295,1.2137,HIGH,HIGH,0.9043,1.0,0.2361,True,True,0.9988,HIGH,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
TINF2,HCM,,0.9041,1.1995,HIGH,HIGH,0.8588,1.0,0.2542,True,False,,,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
KCNH2,HCM,,0.8814,1.128,HIGH,HIGH,0.8037,1.0,0.2141,True,False,,,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
BAG3,HCM,HCM_non_sarcomeric,0.8282,0.9766,HIGH,HIGH,0.7047,1.0,0.1322,True,True,0.6928,MODERATE,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
TRIM63,HCM,,0.8198,0.832,HIGH,HIGH,0.7448,1.0,0.0104,True,False,,,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
RBM20,HCM,HCM_non_sarcomeric,0.8036,1.0794,HIGH,HIGH,0.6522,1.0,0.2686,True,False,,INSUFFICIENT_COVERAGE,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
CAV3,HCM,,0.8,1.0105,HIGH,HIGH,0.6413,1.0,0.2,True,False,,,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
ALPK3,HCM,,0.7976,0.9522,HIGH,HIGH,0.6398,1.0,0.1438,True,False,,,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
PMS2,HCM,,0.7754,0.9897,HIGH,HIGH,0.6746,1.0,0.2112,True,True,0.7058,HIGH,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
TNNC1,HCM,,0.7752,0.8043,HIGH,HIGH,0.6744,1.0,0.0264,True,True,0.6576,MODERATE,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
KIF5B,HCM,,0.7695,1.0412,HIGH,HIGH,0.5485,1.0,0.2773,True,True,0.25,UNSTABLE,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
MYL3,HCM,HCM_sarcomeric,0.7526,0.9653,HIGH,HIGH,0.6109,1.0,0.2164,True,False,,,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
FLNC,HCM,HCM_non_sarcomeric,0.7284,0.9666,HIGH,HIGH,0.5626,1.0,0.2545,True,True,0.7004,HIGH,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
MT-TL1,HCM,,0.7087,1.0235,HIGH,HIGH,0.7087,1.0,0.3606,True,False,,,"High cross-cohort transcript concordance, but disease variability does not exceed GTEx LV baseline. Interpret as transcript-concordant but GTEx-low-confidence."
CASR,HCM,,,,INSUFFICIENT_COHORT_COVERAGE,INSUFFICIENT_COVERAGE,,,,False,False,,,Insufficient evidence for primary MCI interpretation.
RPL36A-HNRNPH2,HCM,,,,INSUFFICIENT_COHORT_COVERAGE,INSUFFICIENT_COVERAGE,,,,False,False,,,Insufficient evidence for primary MCI interpretation.
LAMP2,HCM,,0.6903,0.7974,MODERATE,MODERATE,0.5811,1.0,0.1135,True,True,0.8092,HIGH,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence."
RAF1,HCM,,0.6752,0.7891,MODERATE,MODERATE,0.647,1.0,0.124,True,True,0.9469,HIGH,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence."
SSUH2,HCM,,0.6571,1.746,MODERATE,MODERATE,0.6571,1.0,2.1534,False,False,,,Moderate transcript concordance. Candidate for conditional follow-up with additional cohort or orthogonal evidence.
CSRP3,HCM,HCM_non_sarcomeric,0.6431,0.7429,MODERATE,MODERATE,0.6164,1.0,0.1135,True,True,0.8458,HIGH,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence."
SLC25A4,HCM,,0.596,0.6507,MODERATE,HIGH,0.5863,1.0,0.0658,True,False,,,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence."
PRKAG2,HCM,,0.5839,0.7022,MODERATE,MODERATE,0.5704,1.0,0.1508,True,False,,,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence."
TPM1,HCM,HCM_sarcomeric,0.568,0.6055,MODERATE,MODERATE,0.5206,1.0,0.0468,True,True,0.125,UNSTABLE,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence."
MT-TI,HCM,,0.5439,0.6852,MODERATE,MODERATE,0.5439,0.75,0.1973,True,False,,INSUFFICIENT_COVERAGE,"Moderate transcript concordance with GTEx-low-confidence status. Requires additional cohort, cell-type, or orthogonal evidence."
PTPN11,HCM,,0.4333,0.6147,UNSTABLE,UNSTABLE,0.2167,1.0,0.3366,True,False,,,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
PLN,HCM,HCM_non_sarcomeric,0.413,0.5115,UNSTABLE,UNSTABLE,0.2167,1.0,0.1796,True,True,0.25,UNSTABLE,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
LZTR1,HCM,,0.4113,0.6288,UNSTABLE,UNSTABLE,0.2167,1.0,0.4427,True,False,,,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
LMNA,HCM,HCM_non_sarcomeric,0.4,0.6624,UNSTABLE,UNSTABLE,0.2167,1.0,0.5758,True,True,0.125,UNSTABLE,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
MYL2,HCM,HCM_sarcomeric,0.3921,0.5096,UNSTABLE,UNSTABLE,0.2167,1.0,0.2308,True,False,,,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
MRPL44,HCM,,0.3858,0.4333,UNSTABLE,UNSTABLE,0.2167,1.0,0.0891,True,False,,,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
PKP2,HCM,,0.3,0.3931,UNSTABLE,UNSTABLE,0.2167,1.0,0.2399,True,False,,,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
MYH7,HCM,HCM_sarcomeric,0.2928,0.3739,UNSTABLE,UNSTABLE,0.1333,1.0,0.2119,True,True,0.7405,HIGH,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
TCAP,HCM,,0.2731,0.3366,UNSTABLE,UNSTABLE,0.1333,1.0,0.175,True,True,0.125,UNSTABLE,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
ACTC1,HCM,HCM_sarcomeric,0.2167,0.2421,UNSTABLE,UNSTABLE,0.2167,1.0,0.0849,True,True,0.6625,MODERATE,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
COQ9,HCM,,0.2167,0.2678,UNSTABLE,UNSTABLE,0.2167,1.0,0.1775,True,False,,,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
MTO1,HCM,,0.2167,0.2886,UNSTABLE,UNSTABLE,0.2167,1.0,0.2587,True,False,,,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
NEXN,HCM,,0.2167,0.2644,UNSTABLE,UNSTABLE,0.1333,1.0,0.165,True,True,0.203,UNSTABLE,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
TNNT2,HCM,HCM_sarcomeric,0.2143,0.2295,UNSTABLE,UNSTABLE,0.1333,0.75,0.0506,True,True,0.5809,MODERATE,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
CACNA1C,HCM,,0.1333,0.1596,UNSTABLE,UNSTABLE,0.1333,0.75,0.1461,True,False,,,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
DES,HCM,,0.1333,0.154,UNSTABLE,UNSTABLE,0.1333,0.75,0.1135,True,True,0.8674,HIGH,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
JPH2,HCM,HCM_non_sarcomeric,0.1333,0.1504,UNSTABLE,UNSTABLE,0.1333,0.75,0.093,True,False,,,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
MYBPC3,HCM,HCM_sarcomeric,0.1333,0.1404,UNSTABLE,UNSTABLE,0.1333,0.75,0.0375,True,True,0.8217,HIGH,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
MYO6,HCM,,0.1333,0.1556,UNSTABLE,UNSTABLE,0.1333,0.75,0.1227,True,False,,,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
TTN,HCM,,0.1333,0.1645,UNSTABLE,UNSTABLE,0.1333,0.75,0.1757,True,True,0.6773,MODERATE,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
CEP85L,HCM,,0.0,0.0,UNSTABLE,UNSTABLE,0.0,0.75,0.388,True,False,,INSUFFICIENT_COVERAGE,Unstable transcript-level evidence across current HCM cohorts. Do not treat bulk transcript signal as reproducible without additional validation.
